Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,PeerGroup,OptimiserCategory,Type,IRDuration,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,,Citicode,LastPrice,MarketCap,Exchange,ShortSell%,Date,Basic EPS,Total Revenues,Dividend per Share - Net,Total Assets,Total Liabilities,Growth of Net Income (%),Growth of Net Sales (%),Growth of Free Cash Flow (%),Return on Total Equity (%),Payout Ratio,Total Debt / Total Assets,Net Profit Margin (%),Interest Cover (EBIT)
CQE-AU,CQE,CHARTER HALL SOCIAL INFRASTRUCTURE,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,Australia,,,,,,,,ASXStock,,,,,,,,,,0PKL,238,800306416,ASX,0.021489012,30/06/2023,0.159858,119200000,0.172,2265700000,775600000,-83.6262,13.1243,-20.9796,3.9357,0.921635,0.32608,49.2449,2.979094
JLG-AU,JLG,JOHNS LYNG GROUP LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,Australia,,,,,,,,ASXStock,,,,,,,,,,O9SV,610,1314711528,ASX,0.035085251,30/06/2023,0.179424,1281312000,0.09,785482000,391307000,88.3104,43.1606,39.3808,17.2793,0.417943,0.107971,3.656,25.215002
NWS-AU,NWS,NEWS CORPORATION CLASS B VOTING CD,Growth,Australian Shares,Australian Shares,Australian Shares,Communication,Australia,,,,,,,,ASXStock,,,,,,,,,,K41X,3371,998892230,ASX,0.04311765,30/09/2023,0.375178,15342030000,0.30994,25531307500,11993128300,-70.2355,-4.4628,-21.6062,2.0499,0.834532,0.252382,1.404,7.923913
BGA-AU,BGA,BEGA CHEESE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Staples,Australia,,,,,,,,ASXStock,,,,,,,,,,0QLG,293,790679702.4,ASX,0.026773807,30/06/2023,-0.756618,3376000000,0.075,2153100000,1149400000,-1050,12.1631,-26.312,-20.2903,-0.116572,0.216943,-6.8098,0.701923
WAF-AU,WAF,WEST AFRICAN RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,Australia,,,,,,,,ASXStock,,,,,,,,,,0QIC,81.5,820890400,ASX,0.020409739,30/06/2023,0.140875,595579000,0,1001893000,171476000,-34.0834,-22.4197,-9.3757,21.5679,0,0.01967,24.183,102.100483
GOZ-AU,GOZ,GROWTHPOINT PROPERTIES AUSTRALIA R,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,Australia,,,,,,,,ASXStock,,,,,,,,,,0R90,238,610620120,ASX,0.01725936,30/06/2023,-0.321297,332900000,0.214,5210800000,2156500000,-153.4843,7.1122,11.5091,-7.4716,-0.661237,0.38875,-73.7759,2.948655
LNK-AU,LNK,LINK ADMINISTRATION HLDG PTY LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Industrials,Australia,,,,,,,,ASXStock,,,,,,,,,,MUME,119,610454530,ASX,0.041483319,30/06/2023,-0.816893,955629000,0.085,3024333000,2779706000,-514.7842,8.1796,150.4431,-2.3439,-0.153633,0.376924,-43.6756,1.979685
CMW-AU,CMW,CROMWELL PROPERTY GROUP STAPLED UN,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,Australia,,,,,,,,ASXStock,,,,,,,,,,0R0Q,40.5,520499816.3,ASX,0.008284423,30/06/2023,-0.16946,359000000,0.055,4215700000,2003500000,-268.617,-2.5437,-38.7182,-18.0311,0,0.432692,-123.6211,1.775058
IMU-AU,IMU,IMUGENE LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Health Care,Australia,,,,,,,,ASXStock,,,,,,,,,,0RBG,10.5,706534290,ASX,0.149530657,30/06/2023,-0.006041,11777628,0,197062931,7436929,-0.1207,0,-5.528,-23.0955,0,0.002808,-321.9229,-1439.390886
BRN-AU,BRN,BRAINCHIP HOLDINGS LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Information Technology,Australia,,,,,,,,ASXStock,,,,,,,,,,0QKS,19.5,323060556,ASX,0.028120595,30/06/2023,-0.025672,534554.9425,0,41659437.37,6810243.52,-55.3681,-93.7053,-58.2854,-113.7902,0,0.064675,-8707.322,-287.646551
SYR-AU,SYR,SYRAH RESOURCES LTD,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,Australia,,,,,,,,ASXStock,,,,,,,,,,0QDG,75.5,468735263,ASX,0.199520274,30/06/2023,-0.104745,127470597.5,0,978428000,372218832.5,-32.7182,21.4797,15399.2509,-12.952,0,0.288683,-65.451,-7.880547
LKE-AU,LKE,LAKE RESOURCES,Growth,Australian Shares,Australian Shares,Australian Shares,Materials,Australia,,,,,,,,ASXStock,,,,,,,,,,0REK,17.5,241815650,ASX,0.051146874,30/06/2023,-0.032602,43696631,0,193417314,17092826,-705.0917,0,167.7533,-23.916,0,0.008648,-104.7085,-57.545869
ABG-AU,ABG,Abacus Group,Growth,Australian Shares,Australian Shares,Australian Shares,Real Estate,Australia,,,,,,,,ASXStock,,,,,,,,,,0P8S,105,431100619.2,ASX,0.007210927,30/06/2023,0.028535,141350000,0.184,5606174000,2244485000,-95.0702,11.9958,-30.3349,-6.9436,6.532535,0.179535,18.0367,5.918831
TRS-AU,TRS,The Reject Shop Limited,Growth,Australian Shares,Australian Shares,Australian Shares,Consumer Discretionary,Australia,,,,,,,,ASXStock,,,12,13,14,15,16,,,,540,208792188.5,ASX,0.000609678,7/02/2023,0.271563,819340000,0.065,499272000,317337000,30.4732,3.9453,-20.5129,5.7479,0,0.457524,1.2583,2.064472
29M-AU,29M,29Metals,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,T4OQ,61,406730557,ASX,0.042856598,30/06/2023,-0.735671,599344000,0,984305000,573850000,-391.8206,-22.8098,-116.4402,-59.9452,-0.027173,0.312579,-59.1111,-5.558425
5EA-AU,5EA,5E,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,HIKX,31.5,92727960.5,ASX,0.001702814,30/09/2023,-1.568701,0,0,148368278,78997507.2,15.2703,0,103.1826,-78.5294,0,0.43006,0,-4.470588
AX1-AU,AX1,Accent,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0Q6K,209,853550700,ASX,0.009648999,7/02/2023,0.161591,1420688000,0.175,1154528000,713316000,181.7601,25.7471,48.9416,20.1155,0.992295,0.483556,6.2401,6.537208
ADH-AU,ADH,Adairs,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,MF1W,146.5,241406145,ASX,0.00651311,25/06/2023,0.219829,621335000,0.08,595945000,393724000,-15.6983,10.0728,1.7036,18.9165,0.72407,0.469612,6.0905,4.803977
ABC-AU,ABC,Adbri,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PED,203,767140086,ASX,0.007738361,30/06/2023,0.159173,1814300000,0,2651100000,1297100000,-3.6044,11.3545,44.8535,7.8977,0.312559,0.325638,5.7487,3.822314
ADT-AU,ADT,Adriatic,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,OZ5M,317,828017884.6,ASX,0.079832071,30/06/2023,-0.26493,0,0,402291086,251935532.4,-157.7135,0,493.1757,-38.9106,0,0.553297,0,-12.799571
APM-AU,APM,APM,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,LS8E,153.5,767681334,ASX,0.050968949,30/06/2023,0.11707,1895233000,0.1,3146815000,1649273000,161.0878,42.5921,-11.5514,7.3019,0.854183,0.326588,5.6655,3.860043
APX-AU,APX,Appen,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,M21C,102,135706145.6,ASX,0.016014367,30/06/2023,-3.252815,518007910,0,371359402.5,150956175,-2290.2527,-20.5858,-346.7967,-104.7326,0,0.057391,-79.1889,-26.877165
ARU-AU,ARU,Arafura,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PH2,19,361385415,ASX,0.052153469,30/06/2023,-0.050544,0,0,259531572,44629863,-171.0477,0,-209.8827,-55.5071,0,0.006302,0,-2855.827155
AGY-AU,AGY,Argosy,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PHD,15.5,203639015,ASX,0.0597662,30/06/2023,-0.000697,523153,0,98547739,563980,-121.0773,1050.3676,-38.8112,-1.0716,0,0.00259,-185.5889,-286.879102
AD8-AU,AD8,Audinate,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,O13R,1415,965516632,ASX,0.007404748,30/06/2023,0.137492,69699000,0,106602000,16406000,338.7929,50.5638,435.4391,12.8631,0,0.02438,15.2699,4.494845
ABB-AU,ABB,Aussie,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,D8BX,392,754263232.2,ASX,0.039332678,30/06/2023,0.091376,787952000,0,693587000,401806000,308.1375,44.0655,36.5319,7.7491,0,0.294126,2.7561,3.605277
ASB-AU,ASB,Austal,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PK4,183.5,489296700,ASX,0.023951979,30/06/2023,-0.038007,1585034000,0.07,1927428000,978610000,-117.3116,10.9156,-49.4112,-1.4707,-2.103383,0.124755,-0.869,-2.318721
AAC-AU,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PKJ,131.5,789624438.6,ASX,0.000232262,31/03/2023,0.007721,313424000,0,2379215000,817129000,-96.6325,13.5318,6.5505,0.3153,0,0.181219,1.4711,-13.546432
ACL-AU,ACL,AUSTRALIAN CLINICAL LABS LIMITED,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,HGAY,263,372989232,ASX,0.001247064,30/06/2023,0.178996,697072000,0.14,578913000,406242000,-79.8585,-29.985,-73.1723,17.7885,2.698532,0.546401,5.1502,4.617093
AEF-AU,AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PKN,490,534586680,ASX,0.007713993,30/06/2023,0.05895,81096000,0.07,47304000,20550000,-30.859,14.5682,11.1663,25.578,0.855687,0.046549,8.1089,205.897727
AFG-AU,AFG,Australian Finance Group Limited,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,MD9H,146.5,321336762,ASX,0.003981622,30/06/2023,0.138142,999708000,0.107,6004867000,5805095000,-3.778,-9.4251,29.2269,19.3032,1.173402,0.769367,3.7322,0
BBN-AU,BBN,Baby,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,MTZU,188,246204342.4,ASX,0.005718035,7/02/2023,0.0736,524281000,0.075,343888000,235954000,-49.521,3.3526,-30.9525,8.8513,1.579358,0.51052,1.8795,2.744188
BOE-AU,BOE,Boss,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QMO,434,1552702800,ASX,0.214932519,30/06/2023,0.035586,0,0,267739000,16980000,-59.7684,0,1157.4716,5.1493,0,0.000354,0,-641.2
BCB-AU,BCB,Bowen,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QNX,10,201626398.5,ASX,0.001102718,30/06/2023,-0.093807,209939713,0,407796192,372748782,-790.2492,1623.7373,-1880.0875,-309.5213,0,0.390574,-77.6113,-5.842399
CXL-AU,CXL,Calix,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,PB3F,354,540038093.4,ASX,0.025599994,30/06/2023,-0.133272,18599624,0,127505872,22546850,-41.9116,0.7141,-49.8092,-31.2709,0,0.010329,-124.6577,-71.497593
COF-AU,COF,Centuria Office REIT,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,M0BF,126.5,516397836.5,ASX,0.016038687,30/06/2023,-0.153901,167281000,0.141,2311017000,994673000,-179.9267,-0.1095,-2.2955,-6.5458,-0.956793,0.400743,-54.956,3.066707
CUV-AU,CUV,Clinuvel,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QYM,1659,695692800,ASX,0.018542678,30/06/2023,0.619396,78321318,0.05,193713556,29082413,46.5843,20.2939,33.9006,21.0927,0.064579,0.005161,39.0756,13.820946
CDA-AU,CDA,Codan,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QZ1,828,1238754317,ASX,0.012988917,30/06/2023,0.374609,456468000,0.185,693301000,286966000,-32.7211,-9.8147,-12.9344,17.4944,0.641543,0.18086,14.8474,17.06994
COE-AU,COE,Cooper,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QZX,10,276310755,ASX,0.021654046,30/06/2023,-0.026118,196885000,0,1344373000,847500000,-548.4466,-4.1404,1076.8012,-13.7572,0,0.115001,-34.773,-7.505415
DBI-AU,DBI,Dalrymple,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,HFNW,279,705419749.8,ASX,0.001607829,30/06/2023,0.236833,674023000,0.201,3498534000,2348777000,327.665,29.3782,52.3111,8.5458,1.010952,0.608398,14.2907,2.24636
DTL-AU,DTL,Data,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R1B,743,1144032600,ASX,0.006373459,30/06/2023,0.239589,2560700000,0.219,935605000,867260000,22.3646,16.7978,10.469,56.9508,0.862138,0.025526,1.446,41.815422
DYL-AU,DYL,Deep,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R1H,118.5,916981560,ASX,0.239756135,30/06/2023,-0.014228,38459,0,391668494,17026140,-48.2145,-25.4179,1538.69,-4.1305,0,0.009788,-26303.609,-60.211047
DXI-AU,DXI,DEXUS INDUSTRIA REIT,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,KGKZ,272,561187176,ASX,0.011256346,30/06/2023,-0.020216,104111000,0.164,1562433000,460666000,-104.288,0.5168,73.2506,0.0237,-8.223573,0.265395,-6.1607,4.974172
DDR-AU,DDR,Dicker,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R1W,1139,759931752,ASX,0.000596971,30/06/2023,0.427759,3159353000,0.355,1063512000,818077000,0.6358,28.1787,14.2966,37.168,0.870482,0.308239,2.4147,7.464785
EBO-AU,EBO,Ebos,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,JY3R,3501,574609020,ASX,9.54E-05,30/06/2023,1.32933,12237401000,1.006,6437033000,4133673000,25.0576,14.0047,28.4372,11.8271,0.693562,0.199306,2.0704,5.629369
EHE-AU,EHE,Estia,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,M05F,305,788001050,ASX,0.016989276,30/06/2023,-0.131304,754298000,0.157,1869311000,1368755000,35.2622,12.4027,8.8693,-6.5045,-0.282022,0.070111,-4.4939,-0.27956
FFX-AU,FFX,Firefinch,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0QLX,20,236569315.4,ASX,0,No data is available,0,0,0,0,0,0,0,0,0,0,0,0,0
FPR-AU,FPR,FleetPartners,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,MANH,286,739645200,ASX,0.011113443,30/09/2023,0.306693,676774000,0,2247225000,1611541000,-21.5801,0.0161,-5.7035,12.8981,0,0.61602,11.9716,17.586079
GEM-AU,GEM,G8,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R6Q,103,805458470,ASX,0.004342895,30/06/2023,0.052607,940227000,0.035,1844154000,967524000,40.3014,9.172,24.1258,4.893,0.567421,0.4281,4.5842,2.302343
GDI-AU,GDI,GDI,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,KGIT,56,284401720,ASX,0.008787538,30/06/2023,0.002304,64118000,0.05,1129013000,364053000,395.6626,41.4687,94.5242,2.6306,31.006519,0.305602,1.9136,2.707618
GMD-AU,GMD,Genesis,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R77,153.5,1377121472,ASX,0.041307459,30/06/2023,-0.295579,76963000,0,1016496000,164671000,-141.1205,0,-14.6997,-26.6293,0,0.011166,-145.2243,-235.896797
GRR-AU,GRR,Grange,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R8O,51,312944465.6,ASX,0.006708149,30/06/2023,0.094983,531886000,0.02,1130836000,179427000,-55.7621,-20.8669,-41.0609,11.9565,0.421061,0.004407,20.6709,66.386279
GWA-AU,GWA,GWA,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R9D,198.5,523779875,ASX,0.00286269,30/06/2023,0.162723,411840000,0.13,680248000,374708000,22.6726,-1.6423,10.4638,14.1639,0.86034,0.312481,10.4785,8.0328
HSN-AU,HSN,Hansen,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R9H,519,865001913.4,ASX,0.003397581,30/06/2023,0.211426,311766000,0.1,516587000,177707000,2.0386,5.1327,-11.9408,13.1275,0.430026,0.134161,13.7266,11.295682
HAS-AU,HAS,Hastings,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R9O,83.5,104786988.1,ASX,0.006280598,30/06/2023,-0.086915,0,0,493422373,178249863,-12.1311,0,472.3138,-3.5407,0,0.273184,0,-1.464011
HLI-AU,HLI,Helia,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,KI3L,390,1219574720,ASX,0.021743062,30/06/2023,0.787078,565717000,0.28,3204778000,2092264000,44.6041,111.5018,292.1461,22.1716,0.339742,0.058957,48.874,14.318596
HPI-AU,HPI,Hotel,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,KGKX,285,528487840,ASX,0.003523471,30/06/2023,0.019,79800000,0.186,1265700000,485500000,-98.2974,20.2296,8.4946,0.4527,0,0.361223,4.5112,2.482071
IMD-AU,IMD,Imdex,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RBA,169,834342355,ASX,0.024939162,30/06/2023,0.079458,411398000,0.036,806144000,249936000,-21.7306,20.347,-23.6296,8.2009,0.432747,0.200147,8.5063,10.71965
IHL-AU,IHL,Incannex,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PYA,5.8,85698638.44,ASX,0.045301805,30/06/2023,-0.013,1013879,0,88590700,4461833,-34.0558,0,-51.827,-33.2998,0,0.00888,-1970.6057,0
IFM-AU,IFM,Infomedia,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RBT,147.5,552406890,ASX,0.004423783,30/06/2023,0.025523,129905000,0.04,185213000,46759000,16.3852,8.1289,27.7669,6.7239,2.039448,0.065859,7.3761,48.617554
IDX-AU,IDX,Integral,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,MUBU,183.5,397687291.4,ASX,0.03006982,30/06/2023,0.107597,440762000,0.06,839011000,465963000,71.4716,22.1184,33.8718,6.9527,0.504792,0.435126,5.681,2.176878
INR-AU,INR,Ioneer,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0R7N,15.5,263043801.1,ASX,0.053147842,30/06/2023,-0.003045,0,0,206319000,8920000,24.8382,0,47.2181,-3.1867,0,0.001027,0,-969.6
JHG-AU,JHG,Janus,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RA0,3919,303992400,ASX,0.000337842,30/09/2023,3.145284,3174560450,2.417532,9762645090,2471926470,-23.6872,-14.4774,-29.3784,7.9881,0.771224,0.062225,16.3876,35.206349
JRV-AU,JRV,Jervois,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RD8,3.7,91885703.29,ASX,0.006290424,30/06/2023,-0.122905,408435092.5,0,850452562.5,393165185,-1427.2078,-14.434,1.2978,-50.1966,0,0.319524,-55.9169,-7.91252
JDO-AU,JDO,Judo,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,UKQB,92.5,925320240,ASX,0.00513134,30/06/2023,0.066394,298400000,0,12151700000,10674600000,1053.2467,68.75,-2383.3333,5.0942,0,0.372565,24.5978,0
JIN-AU,JIN,Jumbo,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RDD,1416,765405762,ASX,0.005124512,30/06/2023,0.501689,118712000,0.43,155822000,55833000,1.2605,13.8713,2.7762,32.7187,0.86794,0.024682,26.5929,61.269677
KGN-AU,KGN,Kogan.com,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,NB0J,474,428914930,ASX,0.011468999,30/06/2023,-0.240229,489494000,0,274058000,106340000,27.0891,-31.8731,19.1601,-15.1912,0,0.057403,-5.2813,-23.740039
LLL-AU,LLL,Leo,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,YJN2,50.5,495925331.8,ASX,0,30/06/2023,-0.007572,2340000,0,187328000,3649000,-112.7316,0,-113.1631,-4.9271,0,0.007697,-389.2307,-374.76923
MAF-AU,MAF,MA,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,NV8K,497,467767426.5,ASX,0.012255806,30/06/2023,0.258765,723402000,0.2,2739180000,2335848000,8.6095,50.9789,49.766,10.4646,0.834892,0.535705,5.7477,0
MGH-AU,MGH,MAAS,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,USNN,358,436265523.7,ASX,0.000107962,30/06/2023,0.20655,805324000,0.06,1443843000,814551000,6.3237,55.7322,32.9041,12.1452,0.291986,0.377607,8.1277,3.73477
MYX-AU,MYX,Mayne,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PVN,433,339870630,ASX,0.005585706,30/06/2023,1.426786,183586000,0,1247354000,612994000,141.6831,16.8243,-19.1558,-54.1439,0.386289,0.038084,63.8659,-17.598963
MMS-AU,MMS,McMillan,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PVP,1803,1056512167,ASX,0.019134723,30/06/2023,0.447588,464004000,1.239,1049562000,903985000,-54.1258,8.0396,8.9508,29.4955,2.848568,0.309775,6.9551,10.41859
MSB-AU,MSB,Mesoblast,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PW7,36.5,269664696,ASX,0.025547871,30/06/2023,-0.166483,11270252.5,0,1005796038,251784442.5,10.3539,-26.54,14.1747,-16.3961,0,0.174025,-1091.7077,-3.563515
MNY-AU,MNY,Money3,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PXS,305,328782000,ASX,0.00200861,30/06/2023,0.354479,157836000,0.23,9124283000,8666720000,20.221,-8.1396,-9.6159,8.6767,0.27557,0.217954,24.3936,0
MYS-AU,MYS,MyState,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PYT,26,130778520.6,ASX,0.147555628,30/06/2023,-0.063032,0,0,97743562,4222838,-898.1372,0,-46.5305,-31.6235,0,0.009593,0,-748.808734
NMT-AU,NMT,Neometals,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0Q7B,1478,1828737880,ASX,0.032702389,30/06/2023,0.436325,78343000,0,97523000,6010000,899.5787,0,819.538,88.0638,0,0,70.2589,0
NEU-AU,NEU,Neuren,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PZB,1174,809449200,ASX,0.063745679,30/06/2023,1.247925,507723000,0.75,607640000,427727000,34.9163,15.1411,17.5587,63.0106,0.600997,0.523607,19.9088,11.461828
NCK-AU,NCK,Nick,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0PZU,72,292653160.8,ASX,2.87E-05,30/06/2023,-0.162924,9233646.805,0,422042683.6,118603655.4,-1.7713,0.7271,-130.5542,-23.2973,0,0.246413,-858.8196,-30.57069
NVX-AU,NVX,Novonix,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,E36L,144.5,340603920,ASX,0.044932795,31/03/2023,0.129124,228864000,0,661429000,517319000,25.5837,42.3959,47.9411,25.3311,0,0.119653,13.7247,7.346737
OFX-AU,OFX,OFX,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,JV1H,171,484920600,ASX,0.024468469,30/06/2023,-0.115047,21497000,0,1134835000,350549000,30.6408,-47.5511,-72.8566,0.1131,0,0.175866,-147.2717,-85.324472
OBL-AU,OBL,Omni,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,0RBB,139.5,727354350,ASX,0.006158714,30/06/2023,0.05563,613134000,0.0475,1663360000,940948000,521.3143,15.7376,99.0117,4.1678,0.827626,0.514968,5.1964,2.186012
OML-AU,OML,oOh,Growth,Australian Shares,Australian Shares,Australian Shares,ASXStock,Australia,,,,,,,,ASXStock,,,,,,,,,,M0TU,104.5,908438753.7,ASX,0.016317165,30/06/2023,0.138782,2886790000,0,2823374000,1397083000,135.4739,18.1518,-8.2365,7.4644,0,0.285602,3.3164,3.1933
